Fcity,Flon,Flat,Finternal,Fcityname_cn,Fbj_code,分类,选取原因
2,116.407112,39.904138,33,北京市,101010100,直辖市,全国核心城市
24,117.1999887,39.13000573,379,天津市,101030100,直辖市,全国核心城市
39,121.473523,31.230427,340,上海市,101020100,直辖市,全国核心城市
52,106.5227016,29.54407809,57,重庆市,101040100,直辖市,全国核心城市
94,123.3833914,41.80199341,351,沈阳市,101070101,省会,东北代表
104,121.5765993,38.94382049,64,大连市,101070201,重点城市,沿海气候
182,125.3500003,43.86666945,42,长春市,101060101,省会,东北代表
237,129.5115995,42.90673053,444,延吉市,101060301,极端天气,边境气候
250,126.6225811,45.75521417,146,哈尔滨市,101050101,省会,严寒气候
267,123.9650286,47.34411388,324,齐齐哈尔市,101050201,极端天气,严寒气候
331,130.3642752,46.79619327,824,佳木斯市,101050401,极端天气,降雪场景
374,122.538592,52.97801545,282,漠河市,101050703,极端天气,极寒气候
379,113.6548802,34.76467175,489,郑州市,101180101,省会,华中代表
394,112.361271,34.67144594,256,洛阳市,101180901,重点城市,中原代表
537,114.335269,30.637462,402,武汉市,101200101,省会,华中代表
650,112.9684653,28.19765946,47,长沙市,101250101,省会,华中代表
776,108.31177,22.806543,289,南宁市,101300101,省会,华南代表
886,113.264432,23.129173,126,广州市,101280101,省会,强对流高发
892,114.058229,22.543137,352,深圳市,101280601,重点城市,暴雨高发
895,113.576576,22.27099,1218,珠海市,101280701,重点城市,沿海气候
917,113.121428,23.02152,102,佛山市,101280800,重点城市,用户覆盖高
1000,113.751647,23.020083,506,东莞市,101281601,重点城市,用户覆盖高
1020,110.3433604,20.03920587,134,海口市,101310101,省会,台风高发
1022,109.50782,18.234043,1288,三亚市,101310201,重点城市,热带气候
1045,118.7980508,32.08534463,288,南京市,101190101,省会,华东代表
1061,120.2990527,31.57562716,1318,无锡市,101190201,重点城市,用户覆盖高
1071,117.1825274,34.26360824,436,徐州市,101190801,重点城市,华东代表
1093,120.585372,31.298829,503,苏州市,101190401,重点城市,用户覆盖高
1185,120.1650798,30.25258003,143,杭州市,101210101,省会,华东代表
1208,121.5417738,29.87222144,1434,宁波市,101210401,重点城市,台风影响
1220,120.6478906,28.00269239,398,温州市,101210701,重点城市,台风影响
1286,115.89992,28.675991,285,南昌市,101240101,省会,华中代表
1287,115.93243,28.552488,1491,南昌县,101240103,省会,华中代表
1399,116.9671014,36.65554103,191,济南市,101120101,省会,华东代表
1407,120.3429589,36.08764486,318,青岛市,101120201,重点城市,沿海气候
1439,121.3602992,37.5452831,1604,烟台市,101120501,重点城市,沿海气候
1547,117.2757,31.863255,149,合肥市,101220101,省会,华东代表
1654,119.29781,26.07859,109,福州市,101230101,省会,沿海气候
1665,118.08752,24.457436,412,厦门市,101230201,重点城市,台风影响
1742,114.4985925,38.0419423,355,石家庄市,101090101,省会,华北代表
1761,118.180048,39.61520269,376,唐山市,101090501,重点城市,华北代表
1909,112.551696,37.89305015,374,太原市,101100101,省会,华北代表
2036,111.6486551,40.81439383,156,呼和浩特市,101080101,省会,草原气候
2182,108.883189,34.26591218,411,西安市,101110101,省会,西北代表
2299,106.2623668,38.46798039,452,银川市,101170101,省会,西北代表
2331,103.7508902,36.06854444,225,兰州市,101160101,省会,西北代表
2380,94.6633526,40.13730978,89,敦煌市,101160808,极端天气,沙尘场景
2440,101.7779873,36.6212465,426,西宁市,101150101,省会,高原气候
2505,87.58649898,43.78259334,391,乌鲁木齐市,101130101,省会,干旱气候
2532,89.17833267,42.97380651,389,吐鲁番地区,101130501,极端天气,极热气候
2562,75.98790145,39.46036677,213,喀什地区,101130999,极端天气,干旱气候
2581,86.136261,41.756794,216,库尔勒市,101130601,极端天气,干旱场景
2632,88.13333333,48.21666666,6,阿勒泰地区,101131499,极端天气,冰雪场景
2635,104.0713203,30.66999375,53,成都市,101270101,省会,西南代表
2827,102.7021004,25.05102907,219,昆明市,101290101,省会,高原气候
2884,100.3666667,27.45,2651,丽江市,101291401,极端天气,高海拔场景
2982,106.7003035,26.57193679,130,贵阳市,101260101,省会,高原山地
3084,91.1320863,29.65070056,228,拉萨市,101140101,省会,高海拔
3173,114.15675,22.280244,157,香港特别行政区,101320101,特别行政区,国际化重点
3176,113.5442043,22.20187633,262,澳门特别行政区,101330101,特别行政区,国际化重点
3179,121.5066992,25.03508868,2862,台北市,101340101,重点城市,国际化重点
3179,121.5066992,25.03508868,2862,台北市,101340101,海外热门,国际化重点
4098,-0.1198244,51.5112139,75001,伦敦,,海外热门,欧洲核心城市
4105,12.4825199,41.8929163,74001,罗马,,海外热门,地中海气候
4108,-3.7037902,40.4167754,71002,马德里,,海外热门,欧洲内陆气候
4135,2.3522219,48.856614,57001,巴黎,,海外热门,欧洲核心城市
4142,13.404954,52.5200066,56002,柏林,,海外热门,欧洲核心城市
4161,144.96328,-37.814107,45002,墨尔本,,海外热门,南半球代表
4162,151.2069902,-33.8674869,45001,悉尼,,海外热门,南半球代表
4203,-74.0059731,40.7143528,32015,纽约,,海外热门,北美核心城市
4210,-118.2436849,34.05404902,32008,洛杉矶,,海外热门,北美沿海城市
4224,-79.3831843,43.65543903,31002,多伦多,,海外热门,寒冷气候
